title,gender,name,name_short,alias,alias_short,speaking_bool
All's Well That Ends Well,male,First French Lord,1. LORD.,,1. LORD.,1
All's Well That Ends Well,male,First French Lord,1. LORD.,All Lords,ALL LORDS.,1
All's Well That Ends Well,male,First French Lord Dumaine,1. LORD. DUM.,,1. LORD. DUM.,1
All's Well That Ends Well,male,First French Lord Dumaine,1. LORD. DUM.,Both French Lords,BOTH LORDS.,1
All's Well That Ends Well,male,First Soldier as Interpreter,1. SOLD. AS INTERPRETER.,,1. SOLD. AS INTERPRETER.,1
All's Well That Ends Well,male,Second French Lord,2. LORD.,,2. LORD.,1
All's Well That Ends Well,male,Second French Lord,2. LORD.,All French Lords,ALL LORDS.,1
All's Well That Ends Well,male,Second French Lord Dumaine,2. LORD. DUM.,,2. LORD. DUM.,1
All's Well That Ends Well,male,Second French Lord Dumaine,2. LORD. DUM.,Both French Lords,BOTH LORDS.,1
All's Well That Ends Well,male,Second Soldier,2. SOLD.,,2. SOLD.,1
All's Well That Ends Well,male,Third French Lord,3. LORD.,,3. LORD.,1
All's Well That Ends Well,male,Third French Lord,3. LORD.,All French Lords,ALL LORDS.,1
All's Well That Ends Well,male,Fourth French Lord,4. LORD.,,4. LORD.,1
All's Well That Ends Well,male,Fourth French Lord,4. LORD.,All French Lords,ALL LORDS.,1
All's Well That Ends Well,male,"Bertram, Count of Roussillion",BER.,,BER.,1
All's Well That Ends Well,male,Lavatch,CLO.,,CLO.,1
All's Well That Ends Well,female,Countess of Roussillion,COUNT.,,COUNT.,1
All's Well That Ends Well,female,Diana,DIA.,,DIA.,1
All's Well That Ends Well,male,Duke of Florence,DUKE.,,DUKE.,1
All's Well That Ends Well,male,Gentleman,GENT.,,GENT.,1
All's Well That Ends Well,female,Helena,HEL.,,HEL.,1
All's Well That Ends Well,male,King of France,KING.,,KING.,1
All's Well That Ends Well,male,Lafew,LAF.,,LAF.,1
All's Well That Ends Well,female,Mariana,MAR.,Both Mariana and Widow,BOTH. MAR. AND WID.,1
All's Well That Ends Well,female,Mariana,MAR.,,MAR.,1
All's Well That Ends Well,male,Messenger,MESS.,,MESS.,1
All's Well That Ends Well,male,Countess's Page,PAGE.,,PAGE.,1
All's Well That Ends Well,male,Parolles,PAR.,,PAR.,1
All's Well That Ends Well,male,Rinaldo,STEW.,,STEW.,1
All's Well That Ends Well,female,Violenta,VIOL.,,VIOL.,1
All's Well That Ends Well,female,An Old Widow of Florence,WID.,Both Mariana and Widow,BOTH. MAR. AND WID.,1
All's Well That Ends Well,female,An Old Widow of Florence,WID.,,WID.,1
Antony and Cleopatra,male,Caesar's First Messenger,1. CAES. MESS.,,1. CAES. MESS.,1
Antony and Cleopatra,male,First Egyptian Servant,1. EGYPT. SERV.,,1. EGYPT. SERV.,1
Antony and Cleopatra,male,First Messenger,1. MESS.,,1. MESS.,1
Antony and Cleopatra,male,First Roman Guard,1. ROM. GUARD.,,1. ROM. GUARD.,1
Antony and Cleopatra,male,First Roman Messenger,1. ROM. MESS.,,1. ROM. MESS.,1
Antony and Cleopatra,male,First Roman Soldier,1. ROM. SOLD.,,1. ROM. SOLD.,1
Antony and Cleopatra,male,Caesar's Second Messenger,2. CAES. MESS.,,2. CAES. MESS.,1
Antony and Cleopatra,male,Second Egyptian Servant,2. EGYPT. SERV.,,2. EGYPT. SERV.,1
Antony and Cleopatra,male,Second Messenger,2. MESS.,,2. MESS.,1
Antony and Cleopatra,male,Second Roman Guard,2. ROM. GUARD.,,2. ROM. GUARD.,1
Antony and Cleopatra,male,Second Roman Messenger,2. ROM. MESS.,,2. ROM. MESS.,1
Antony and Cleopatra,male,Second Roman Soldier,2. ROM. SOLD.,,2. ROM. SOLD.,1
Antony and Cleopatra,male,Caesar's Third Messenger,3. CAES. MESS.,,3. CAES. MESS.,1
Antony and Cleopatra,male,Agrippa,AGR.,,AGR.,1
Antony and Cleopatra,male,Agrippa,AGR.,"Agrippa, Maecenas and Decretas","AGR., MAEC., DEC.",1
Antony and Cleopatra,male,Agrippa,AGR.,Both Maecenas and Agrippa,BOTH. MAEC. AND AGR.,1
Antony and Cleopatra,male,Alexas,ALEX.,,ALEX.,1
Antony and Cleopatra,male,Alexas,ALEX.,"Charmian, Iras, and Alexas","CHAR., IRAS, ALEX.",1
Antony and Cleopatra,male,Schoolmaster (Ambassador),AMB.,,AMB.,1
Antony and Cleopatra,male,Mark Antony,ANT.,,ANT.,1
Antony and Cleopatra,male,Mark Antony,ANT.,"Caesar, Antony and Lepidus","CAES., ANT., LEP.",1
Antony and Cleopatra,male,Antony's First Attendant,ANT. 1. ATT.,All Antony's Attendants,ALL. ANT. ATT.,1
Antony and Cleopatra,male,Antony's First Attendant,ANT. 1. ATT.,,ANT. 1. ATT.,1
Antony and Cleopatra,male,Antony's First Attendant,ANT. 1. ATT.,Both Antony's Attendants,BOTH. ATT.,1
Antony and Cleopatra,male,Antony's First Guardsman,ANT. 1. GUARD.,All Guards,ALL. GUARDS.,1
Antony and Cleopatra,male,Antony's First Guardsman,ANT. 1. GUARD.,,ANT. 1. GUARD.,1
Antony and Cleopatra,male,Antony's First Soldier,ANT. 1. SOLD.,All Antony's Soldiers,ALL. ANT. SOLD.,1
Antony and Cleopatra,male,Antony's First Soldier,ANT. 1. SOLD.,,ANT. 1. SOLD.,1
Antony and Cleopatra,male,Antony's Second Attendant,ANT. 2. ATT.,,ANT. 2. ATT.,1
Antony and Cleopatra,male,Antony's Second Attendant,ANT. 2. ATT.,Both Antony's Attendants,BOTH. ATT.,1
Antony and Cleopatra,male,Antony's Second Guardsman,ANT. 2. GUARD.,All Guards,ALL. GUARDS.,1
Antony and Cleopatra,male,Antony's Second Guardsman,ANT. 2. GUARD.,,ANT. 2. GUARD.,1
Antony and Cleopatra,male,Antony's Second Soldier,ANT. 2. SOLD.,All Antony's Soldiers,ALL. ANT. SOLD,1
Antony and Cleopatra,male,Antony's Second Soldier,ANT. 2. SOLD.,,ANT. 2. SOLD.,1
Antony and Cleopatra,male,Antony's Third Guardsman,ANT. 3. GUARD.,All Guards,ALL. GUARDS.,1
Antony and Cleopatra,male,Antony's Third Guardsman,ANT. 3. GUARD.,,ANT. 3. GUARD.,1
Antony and Cleopatra,male,Antony's Third Soldier,ANT. 3. SOLD.,All Antony's Soldiers,ALL. ANT. SOLD,1
Antony and Cleopatra,male,Antony's Third Soldier,ANT. 3. SOLD.,,ANT. 3. SOLD.,1
Antony and Cleopatra,male,Antony's Fourth Soldier,ANT. 4. SOLD.,All Antony's Soldiers,ALL. ANT. SOLD,1
Antony and Cleopatra,male,Antony's Fourth Soldier,ANT. 4. SOLD.,,ANT. 4. SOLD.,1
Antony and Cleopatra,male,Octavius Caesar,CAES.,,CAES.,1
Antony and Cleopatra,male,Octavius Caesar,CAES.,"Caesar, Antony and Lepidus","CAES., ANT., LEP.",1
Antony and Cleopatra,male,Caesar's First Soldier,CAES. 1. SOLD.,,CAES. 1. SOLD.,1
Antony and Cleopatra,male,Caesar's First Watchman,CAES. 1. WATCH.,,CAES. 1. WATCH.,1
Antony and Cleopatra,male,Caesar's Second Watchman,CAES. 2. WATCH.,,CAES. 2. WATCH.,1
Antony and Cleopatra,male,Caesar's Sentry,CAES. SENT.,,CAES. SENT.,1
Antony and Cleopatra,male,Canidius,CAN.,,CAN.,1
Antony and Cleopatra,male,Captain of Antony's Army,CAPT. ANT. ARMY.,,CAPT. ANT. ARMY.,1
Antony and Cleopatra,female,Charmian,CHAR.,,CHAR.,1
Antony and Cleopatra,female,Charmian,CHAR.,"Charmian, Iras, and Alexas","CHAR., IRAS, ALEX.",1
Antony and Cleopatra,female,"Cleopatra, Queen of Egypt",CLEO.,,CLEO.,1
Antony and Cleopatra,male,Clown,CLOWN.,,CLOWN.,1
Antony and Cleopatra,male,Decretas,DEC.,"Agrippa, Maecenas and Decretas","AGR., MAEC., DEC.",1
Antony and Cleopatra,male,Decretas,DEC.,,DEC.,1
Antony and Cleopatra,male,Demetrius,DEM.,,DEM.,1
Antony and Cleopatra,male,Diomedes,DIO.,,DIO.,1
Antony and Cleopatra,male,Dolabella,DOL.,,DOL.,1
Antony and Cleopatra,male,Egyptian Messenger,EGYPT. MESS.,,EGYPT. MESS.,1
Antony and Cleopatra,male,Domitius Enobarbus,ENO.,,ENO.,1
Antony and Cleopatra,male,Eros,EROS.,,EROS.,1
Antony and Cleopatra,male,Gallus,GALL.,All Caesar's Train,ALL. CAES. TRAIN.,1
Antony and Cleopatra,male,Gallus,GALL.,,GALL.,1
Antony and Cleopatra,female,Iras,IRAS.,"Charmian, Iras, and Alexas","CHAR., IRAS, ALEX.",1
Antony and Cleopatra,female,Iras,IRAS.,,IRAS.,1
Antony and Cleopatra,male,M. Aemilius Lepidus,LEP.,"Caesar, Antony and Lepidus","CAES., ANT., LEP.",1
Antony and Cleopatra,male,M. Aemilius Lepidus,LEP.,,LEP.,1
Antony and Cleopatra,female,Lucillius,LUCILL.,,LUCILL.,1
Antony and Cleopatra,male,Maecenas,MAEC.,"Agrippa, Maecenas and Decretas","AGR., MAEC., DEC.",1
Antony and Cleopatra,male,Maecenas,MAEC.,All Caesar's Train,ALL. CAES. TRAIN.,1
