title,alias_short,act,scene
All's Well That Ends Well,1. SOLD. AS INTERPRETER.,Act 3,Scene 1
All's Well That Ends Well,1. SOLD. AS INTERPRETER.,Act 3,Scene 3
All's Well That Ends Well,1. SOLD. AS INTERPRETER.,Act 4,Scene 1
All's Well That Ends Well,1. SOLD. AS INTERPRETER.,Act 4,Scene 3
All's Well That Ends Well,2. LORD. DUM.,Act 4,Scene 1
All's Well That Ends Well,2. SOLD.,Act 3,Scene 1
All's Well That Ends Well,2. SOLD.,Act 3,Scene 3
All's Well That Ends Well,2. SOLD.,Act 4,Scene 1
All's Well That Ends Well,2. SOLD.,Act 4,Scene 3
All's Well That Ends Well,Attendant,Act 5,Scene 3
All's Well That Ends Well,Attendants,Act 1,Scene 2
All's Well That Ends Well,Attendants,Act 2,Scene 3
All's Well That Ends Well,Attendants,Act 5,Scene 1
All's Well That Ends Well,BER.,Act 1,Scene 1
All's Well That Ends Well,BER.,Act 1,Scene 2
All's Well That Ends Well,BER.,Act 2,Scene 1
All's Well That Ends Well,BER.,Act 2,Scene 3
All's Well That Ends Well,BER.,Act 2,Scene 5
All's Well That Ends Well,BER.,Act 3,Scene 3
All's Well That Ends Well,BER.,Act 3,Scene 5
All's Well That Ends Well,BER.,Act 3,Scene 6
All's Well That Ends Well,BER.,Act 4,Scene 2
All's Well That Ends Well,BER.,Act 4,Scene 3
All's Well That Ends Well,BER.,Act 5,Scene 3
All's Well That Ends Well,BOTH LORDS.,Act 1,Scene 2
All's Well That Ends Well,BOTH LORDS.,Act 2,Scene 1
All's Well That Ends Well,BOTH LORDS.,Act 2,Scene 3
All's Well That Ends Well,BOTH LORDS.,Act 3,Scene 1
All's Well That Ends Well,BOTH LORDS.,Act 3,Scene 2
All's Well That Ends Well,BOTH LORDS.,Act 3,Scene 6
All's Well That Ends Well,BOTH LORDS.,Act 4,Scene 3
All's Well That Ends Well,BOTH LORDS.,Act 5,Scene 3
All's Well That Ends Well,Citizens,Act 3,Scene 5
All's Well That Ends Well,CLO.,Act 1,Scene 3
All's Well That Ends Well,CLO.,Act 2,Scene 2
All's Well That Ends Well,CLO.,Act 2,Scene 4
All's Well That Ends Well,CLO.,Act 3,Scene 2
All's Well That Ends Well,CLO.,Act 4,Scene 5
All's Well That Ends Well,CLO.,Act 5,Scene 2
All's Well That Ends Well,COUNT.,Act 1,Scene 1
All's Well That Ends Well,COUNT.,Act 1,Scene 3
All's Well That Ends Well,COUNT.,Act 2,Scene 2
All's Well That Ends Well,COUNT.,Act 3,Scene 2
All's Well That Ends Well,COUNT.,Act 3,Scene 4
All's Well That Ends Well,COUNT.,Act 4,Scene 5
All's Well That Ends Well,COUNT.,Act 5,Scene 3
