title,act,scene,sd_num,sd_num_global,sd
All's Well That Ends Well,Act 1,Scene 1,0.01,0.01,"Enter young Bertram, Count of Roussillion, his mother the Countess of Roussillion, and Helena, Lord Lafew, all in black."
All's Well That Ends Well,Act 1,Scene 1,36.01,39.01,Exit Countess.
All's Well That Ends Well,Act 1,Scene 1,36.02,39.02,To Helena.
All's Well That Ends Well,Act 1,Scene 1,39.01,43.01,Exeunt Bertram and Lafew.
All's Well That Ends Well,Act 1,Scene 1,59.01,63.01,Enter Parolles.
All's Well That Ends Well,Act 1,Scene 1,59.02,63.02,Aside.
All's Well That Ends Well,Act 1,Scene 1,103.01,107.01,Enter Page.
All's Well That Ends Well,Act 1,Scene 1,104.01,108.01,Exit.
All's Well That Ends Well,Act 1,Scene 1,117.01,121.01,Exit.
All's Well That Ends Well,Act 1,Scene 1,131.01,135.01,Exit.
All's Well That Ends Well,Act 1,Scene 2,0.01,135.02,"Flourish cornets. Enter the King of France with letters, Lords, and divers Attendants."
All's Well That Ends Well,Act 1,Scene 2,17.01,157.01,"Enter Bertram, Lafew, and Parolles."
All's Well That Ends Well,Act 1,Scene 2,76.01,221.01,Exeunt. Flourish.
All's Well That Ends Well,Act 1,Scene 3,0.01,221.02,"Enter Countess, Steward Rinaldo, and Clown Lavatch."
All's Well That Ends Well,Act 1,Scene 3,29.01,250.01,Sings.
All's Well That Ends Well,Act 1,Scene 3,43.01,264.01,Exit.
All's Well That Ends Well,Act 1,Scene 3,48.01,269.01,Exit Steward.
All's Well That Ends Well,Act 1,Scene 3,48.02,269.02,Enter Helen.
All's Well That Ends Well,Act 1,Scene 3,177.01,413.01,Exeunt.
All's Well That Ends Well,Act 2,Scene 1,0.01,413.02,"Enter the King, with divers young Lords taking leave for the Florentine war, (Bertram) Count Roussillion, and Parolles. Flourish cornets."
All's Well That Ends Well,Act 2,Scene 1,23.01,438.01,The King retires apart with some Lords.
All's Well That Ends Well,Act 2,Scene 1,41.01,458.01,Exeunt Lords.
All's Well That Ends Well,Act 2,Scene 1,46.01,463.01,Exeunt Bertram and Parolles.
All's Well That Ends Well,Act 2,Scene 1,46.02,463.02,Enter Lafew. The King comes forward.
All's Well That Ends Well,Act 2,Scene 1,46.03,463.03,Kneeling.
All's Well That Ends Well,Act 2,Scene 1,77.01,500.01,Goes to the door.
All's Well That Ends Well,Act 2,Scene 1,79.01,502.01,Enter Helen.
All's Well That Ends Well,Act 2,Scene 1,84.01,508.01,Exit.
All's Well That Ends Well,Act 2,Scene 1,196.01,625.01,Flourish. Exeunt.
All's Well That Ends Well,Act 2,Scene 2,0.01,625.02,Enter Countess and Clown.
All's Well That Ends Well,Act 2,Scene 2,33.01,658.01,Exeunt.
All's Well That Ends Well,Act 2,Scene 3,0.01,658.02,"Enter count Bertram, Lafew, and Parolles."
All's Well That Ends Well,Act 2,Scene 3,15.01,673.01,Pointing to a ballad in Lafew's hand.
All's Well That Ends Well,Act 2,Scene 3,15.02,673.02,Reading the title.
All's Well That Ends Well,Act 2,Scene 3,24.01,682.01,"Enter King, Helen, and Attendants."
All's Well That Ends Well,Act 2,Scene 3,34.01,692.01,Enter three or four Lords.
All's Well That Ends Well,Act 2,Scene 3,59.01,719.01,She addresses her to a Lord.
All's Well That Ends Well,Act 2,Scene 3,62.01,723.01,To a Second Lord.
All's Well That Ends Well,Act 2,Scene 3,69.01,731.01,To a third Lord.
All's Well That Ends Well,Act 2,Scene 3,74.01,736.01,To a fourth Lord.
All's Well That Ends Well,Act 2,Scene 3,78.01,740.01,To Bertram.
All's Well That Ends Well,Act 2,Scene 3,161.01,826.01,"Exeunt. Lafew and Parolles stay behind, commenting of this wedding."
All's Well That Ends Well,Act 2,Scene 3,184.01,849.01,Exit.
All's Well That Ends Well,Act 2,Scene 3,185.01,850.01,Enter Lafew.
All's Well That Ends Well,Act 2,Scene 3,192.01,857.01,Exit.
All's Well That Ends Well,Act 2,Scene 3,192.02,857.02,"Enter Bertram, Count Roussillion."
